date,predicted_calls,lower_bound,upper_bound
2015-10-01,4194.033861564216,3850.594012478548,4556.410740209671
2015-10-02,4037.849825393349,3701.1607028611324,4386.887096401983
2015-10-03,3149.6898729412487,2773.797130028533,3518.1942568989166
2015-10-04,2261.733433780024,1875.7680939989762,2600.7810121523075
2015-10-05,4255.475548137639,3888.3058988447046,4614.392611186269
2015-10-06,4083.822331167194,3761.194069841346,4437.8166582143585
2015-10-07,4216.462993101067,3859.7581093241083,4585.039910262839
2015-10-08,4152.9201090242495,3802.8148675830585,4485.4591710201785
2015-10-09,4005.5941278857463,3630.08611937815,4364.860229905111
2015-10-10,3125.7999577437913,2782.112166809835,3476.6290367084935
2015-10-11,2245.265877185782,1892.8120257185096,2569.8543687403367
2015-10-12,4244.452344909611,3886.9540569893466,4589.000871264586
2015-10-13,4077.531915747653,3713.306953173549,4425.888100907192
2015-10-14,4213.354532205004,3797.4169683644513,4574.471304717461
2015-10-15,4151.496818656843,3807.702657733201,4503.72558104592
2015-10-16,4004.2855870547664,3625.0099242327333,4381.948559345191
2015-10-17,3123.2280005226544,2722.287431320078,3466.4633133321236
2015-10-18,2239.8984207546914,1867.2099172671265,2595.7449509054027
2015-10-19,4234.035982509807,3853.1030233061138,4603.169599592618
2015-10-20,4061.400122042767,3696.177856209756,4421.3136114207655
2015-10-21,4190.320104497781,3846.1413320524043,4557.677042936817
2015-10-22,4120.734360796196,3764.461437559522,4471.655333227578
2015-10-23,3965.184310862258,3604.338412108635,4327.11533598244
2015-10-24,3075.6299695946573,2739.378176700879,3436.2132109020563
2015-10-25,2183.7173633785683,1829.2688001844206,2527.5547995466495
2015-10-26,4168.648476589046,3823.1943509609478,4568.9983604171275
2015-10-27,3987.9071516184135,3657.3825360285005,4344.072613271277
2015-10-28,4109.388909858267,3750.735598571067,4458.020489793291
2015-10-29,4033.4277982068957,3678.516762213087,4409.790099510658
2015-10-30,3872.7594777119916,3523.672899488479,4221.966333425723
2015-10-31,2979.7227316323592,2610.7805481505097,3312.2404497503862
2015-11-01,1628.3734524472018,1312.2427828075529,1988.4842878135119
2015-11-02,3665.41835825553,3293.1732020354166,4021.931269830731
2015-11-03,3501.286775216173,3177.822322268535,3853.9346853632355
2015-11-04,3300.261089308967,2926.2395801249254,3647.0701456661914
2015-11-05,3525.2258517323235,3183.5458719867966,3884.015317476896
2015-11-06,3309.634657853898,2944.3197431076574,3653.8263391739965
2015-11-07,2345.852974913445,1978.6240108446086,2713.22220139531
2015-11-08,1563.2620979652224,1230.8294274741081,1905.9297125460744
2015-11-09,3610.2270540429613,3270.9875886911095,3978.303224837603
2015-11-10,3457.5451946602857,3092.9089387351696,3834.597812918145
2015-11-11,3268.607771330032,2913.367780042957,3607.7866491864324
2015-11-12,3505.8751112601108,3139.369457692843,3855.1113947026947
2015-11-13,3302.7451435399494,2936.705408222209,3657.44755097995
2015-11-14,2351.3644969554566,1989.2970459529738,2706.7689411409
2015-11-15,1580.5468872708286,1233.8857432811276,1941.368651546666
2015-11-16,3637.6114075541554,3286.7818781649,4014.9663574157057
2015-11-17,3494.526913126544,3132.28036957034,3859.022182473484
2015-11-18,3313.827676063601,2955.703409770821,3657.3302768335097
2015-11-19,3557.639045755336,3187.9940730280773,3929.0055546625836
2015-11-20,3359.445435783653,3000.113696638424,3709.3563395581223
2015-11-21,2411.366048217046,2042.9208714129047,2773.3034615774327
2015-11-22,1641.882689211336,1289.8944456863057,1983.2156323138881
2015-11-23,3697.542218204355,3332.560142585211,4059.5935844211504
2015-11-24,3551.7894424972783,3213.391263847508,3901.8427182349583
2015-11-25,3366.628710191218,3004.3286227599947,3701.697392120618
2015-11-26,3604.191278652481,3264.2530885690685,3940.1186275362147
2015-11-27,3398.3935875287116,3042.9314583968726,3728.876687135567
2015-11-28,2441.668287058417,2088.397612502085,2805.0128288186165
2015-11-29,1662.4922653520746,1320.765901380439,2013.476333153492
2015-11-30,3706.9443964039933,3378.155923752942,4060.4591289963982
2015-12-01,4083.71190589488,3743.953815505862,4460.5306999672885
2015-12-02,4021.0279427049486,3659.427251420827,4356.881139448159
2015-12-03,3256.88571444145,2913.539808920625,3592.6894528015414
2015-12-04,3500.7393456294835,3165.233546912468,3845.6377478643326
2015-12-05,3050.8852214493872,2687.89085801398,3408.7302702577636
2015-12-06,2406.3088789782532,2076.8579002119186,2756.528854347522
2015-12-07,4027.3322416214232,3661.377100880922,4388.998410970097
2015-12-08,4020.488037385927,3658.37613362637,4371.237331515577
2015-12-09,3954.612322693291,3634.797116841211,4309.785249329604
2015-12-10,3189.471476704627,2860.243485154922,3530.178268608826
2015-12-11,3434.118002033334,3064.1347847056686,3777.461257839806
2015-12-12,2987.370722955599,2649.1611309375357,3343.417035378704
2015-12-13,2348.0538692489017,1995.441477350471,2694.078051349323
2015-12-14,3975.713104573272,3639.284853695934,4337.454353833842
2015-12-15,3977.872878612411,3626.8243855068263,4339.756466555637
2015-12-16,3922.748399589753,3569.201247076174,4289.851697934494
2015-12-17,3170.073765568994,2804.29205227747,3522.4949705786303
2015-12-18,3428.1577976062035,3092.7087427604683,3774.102965894907
2015-12-19,2996.0202442689406,2615.216938912872,3338.56167275435
2015-12-20,2359.8947570349364,2019.346525107864,2714.467050791184
2015-12-21,4002.568090257374,3662.486231402814,4376.0968355648465
2015-12-22,4020.2058517297296,3669.762575335349,4404.191863485809
2015-12-23,3980.237154830375,3648.382719153244,4321.9490998112105
2015-12-24,3242.2508680124106,2894.265232686086,3593.0248751463846
2015-12-25,3513.7541582165645,3145.7122481329743,3894.012637855019
2015-12-26,3093.9659215924057,2749.3916821935,3441.055183058192
2015-12-27,2480.8565765037984,2126.1356028261666,2826.3542985852964
2015-12-28,4132.014961086259,3766.2892637281143,4505.943651050503
2015-12-29,4156.681453277654,3792.306084229589,4524.708445490947
2015-12-30,4121.70511400255,3773.4250930876433,4468.3293457294085
2015-12-31,3386.776591967537,3009.205988287155,3736.052267592703
2016-01-01,3294.3713922970296,2955.429254296634,3651.7301558674026
2016-01-02,2294.914498311454,1939.9741825385468,2652.6017965267506
2016-01-03,1617.122917004897,1284.4089796766464,1978.0076223319297
2016-01-04,3503.1203509089855,3145.193556451375,3841.4291240888447
2016-01-05,3258.056498815093,2901.8354939421683,3617.2672308266287
2016-01-06,3463.2834863250896,3142.276903992647,3812.381830890083
2016-01-07,3096.740608195401,2724.3168889362255,3463.6619894903965
2016-01-08,3403.348836774991,3059.327075173639,3767.0321232952692
2016-01-09,2391.9814749065285,2051.7319573862605,2768.3687711529637
2016-01-10,1701.6539949879723,1340.9467489764718,2070.211732699618
2016-01-11,3574.144805380951,3218.7475003590694,3936.0557192220267
2016-01-12,3316.2443467421585,2965.728973819767,3681.210597485417
2016-01-13,3496.724607710417,3153.404051086908,3854.0032187680263
2016-01-14,3118.335093329095,2747.974828902618,3478.84193689318
2016-01-15,3413.758246859637,3068.4691523470883,3786.846095419975
2016-01-16,2392.6524259432144,2027.2915212832825,2723.123425109354
2016-01-17,1693.7429099907274,1352.4402414634392,2073.298349102202
2016-01-18,3558.306781801265,3175.606279039942,3902.295544598638
2016-01-19,3294.5809706135115,2934.0999716524225,3655.0661784462263
2016-01-20,3470.658829617222,3101.912537134525,3821.21618328547
2016-01-21,3089.59084168701,2758.7677211667747,3444.9362237585487
2016-01-22,3383.6785297730326,3027.2292808902394,3752.934060744907
2016-01-23,2363.0832448586593,2008.8005181783462,2700.13268770001
2016-01-24,1665.9547352643267,1316.8247679423944,2050.412554039957
2016-01-25,3532.7878513768023,3186.3291656374986,3891.63970733361
2016-01-26,3272.996994381108,2926.3228292097256,3630.2242380137545
2016-01-27,3453.7467662266686,3116.1560613945426,3812.0102335551396
2016-01-28,3078.163790591958,2711.660361515735,3441.4257362919047
2016-01-29,3377.9746925989316,3020.0182624287345,3760.7504266569904
2016-01-30,2363.685341896261,2007.0615907573385,2719.636247691023
2016-01-31,1672.7505773303233,1315.1997618397565,2029.3567842602488
2016-02-01,3430.8711314688244,3071.0996714486555,3783.523639915189
2016-02-02,3260.2568260360686,2918.744669647836,3611.357410108117
2016-02-03,3260.096453468433,2904.579587764677,3618.1246530690573
2016-02-04,3238.270866659111,2865.1966335732236,3590.235052848527
2016-02-05,3233.602182018619,2917.6578168768146,3621.4488661466366
2016-02-06,2232.6734377487564,1892.2128934780135,2564.6553231453695
2016-02-07,1575.015476063878,1212.6616975861948,1904.8838282351198
2016-02-08,3462.4692704746053,3106.0591608701498,3838.8523601254233
2016-02-09,3290.564061872143,2927.2421396531304,3637.669983629956
2016-02-10,3287.9870263606213,2943.794998269617,3658.0850807664897
2016-02-11,3262.744071259659,2891.376425390757,3621.5858873938923
2016-02-12,3253.746286052039,2916.910257295872,3617.3498943953796
2016-02-13,2247.994620292328,1892.5110244236855,2595.3255909022764
2016-02-14,1584.785171490154,1215.338472616181,1930.3600779278065
2016-02-15,3465.4947395404106,3095.971870259485,3857.7134621486575
2016-02-16,3287.1556870486975,2926.3946098946567,3635.7682441402108
2016-02-17,3278.004371079658,2919.3794835960857,3657.4490285363972
2016-02-18,3246.2932697109777,2880.86642942762,3608.038243230816
2016-02-19,3231.1107429358603,2873.923810828932,3598.404136426645
2016-02-20,2219.928840288819,1865.9925232954074,2561.7062131712187
2016-02-21,1551.8261180654342,1207.066508457417,1907.9658551543487
2016-02-22,3427.6965637500502,3054.5687295519488,3780.7717492255915
2016-02-23,3246.0223193978986,2881.1291233487773,3613.3908699863687
2016-02-24,3234.502961222083,2879.9318642568405,3594.0225615825516
2016-02-25,3201.5219091537742,2812.9058317001754,3545.3082249819004
2016-02-26,3186.2032190041214,2841.484429297697,3560.6827236092863
2016-02-27,2176.3268904332485,1810.4139064691751,2523.079679396178
2016-02-28,1510.5740978324347,1120.8874260998973,1886.8511292851445
2016-02-29,3389.1647352155974,3051.990271640094,3739.7917669647863
